Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
hubpages.com,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,1,1,1,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
biberbach.de,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,1
claim.gforce689.com,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
ldjelqlkdh.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
anysidedomains.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
bak-hex.com,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
amazceczm-co-jp.amazaeocn.50gb026.xyz,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
amazceczm-co-jp.amazaeocn.nkdo.top,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
2509rstrctdpgbsnssrcvry805id097.co.vu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
bestexhange.com,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
info-user-com.63-250-37-100.cprapid.com,0,0,1,2,0,0,0,1,0,1,0,0,1,1,1,1,1
